UID	ProportionCoverage30x
06-19919T	0.430105
06-22057T	0.195128
06-23907T	0.451931
06-24915T	0.139302
06-25674T	0.610669
06-30025T	0.462563
06-30145T	0.363296
06-33777T	0.867396
06-34043T	0.50691
07-17613T	0.321201
07-25012T	0.452358
07-30628T	0.441696
07-35482T	0.401491
08-25894T	0.002143
09-12737T	0.453947
09-33003T	0.166309
09-41082T	0.32208
81-52884T	0.02014
95-32814T	0.611878
98-22532T	0.356293
99-27137T	0.543405
FL1011T1	0.86304
FL3001T1	0.957638
FL1015T1	0.772222
FL1015T2	0.916627
FL1002T1	0.858226
FL1002T2	0.890388
FL1006T1	0.962661
FL1006T2	0.922966
FL3009T1	0.955171
FL3014T1	0.911663
FL3011T1	0.949958
FL1008T1	0.946214
FL1008T2	0.916588
FL3012T1	0.95622
FL3004T1	0.951955
FL1009T1	0.802512
FL1001T1	0.85107
FL1001T2	0.883443
FL3003T1	0.94938
FL3008T1	0.926432
FL1014T1	0.901835
FL3007T1	0.944394
FL3005T1	0.945135
FL1003T1	0.94368
FL1003T2	0.897843
FL3018T1	0.954471
FL2006T1	0.946944
FL2006T2	0.925241
FL1018T1	0.966498
FL1018T2	0.969332
FL2003T1	0.726437
FL2003T2	0.347318
FL1012T1	0.832577
FL1012T2	0.829461
FL3015T1	0.935259
FL3016T1	0.943799
FL2004T1	0.950173
FL2004T2	0.945452
FL2002T1	0.904662
FL2002T2	0.878865
FL3019T1	0.947896
FL3020T1	0.948625
FL3017T1	0.937797
FL3013T1	0.949202
FL1013T1	0.891915
FL1013T2	0.957053
FL2007T1	0.958312
FL2007T2	0.953447
FL2005T1	0.718776
FL2005T2	0.779046
FL1005T1	0.929981
FL1005T2	0.93287
FL1019T1	0.97135
FL1019T2	0.969888
FL1020T1	0.962444
FL1020T2	0.961201
FL1016T1	0.933957
FL1016T2	0.954363
FL2008T1	0.969941
FL2008T2	0.966709
FL1017T1	0.961183
FL1017T2	0.951447
FL2001T1	0.761895
FL2001T2	0.857428
FL3002T1	0.93409
FL1007T1	0.906021
FL1007T2	0.89789
FL3006T1	0.92756
FL1004T1	0.931049
FL1004T2	0.900795
FL1010T1	0.616154
FL1010T2	0.943389
FL3010T1	0.958798
BLGSP-71-06-00001-01A-11D	0.947651
BLGSP-71-06-00002-01C-01D	0.950957
BLGSP-71-06-00004-01A-11D	0.918308
BLGSP-71-06-00007-01A-11D	0.948144
BLGSP-71-06-00008-01A-11D	0.946609
BLGSP-71-06-00012-01A-11D	0.945028
BLGSP-71-06-00013-01B-11D	0.945346
BLGSP-71-06-00016-01A-01D	0.950421
BLGSP-71-06-00019-01A-11D	0.945407
BLGSP-71-06-00020-01A-11D	0.950411
BLGSP-71-06-00071-01B-11D	0.947169
BLGSP-71-06-00072-01A-11D	0.946327
